"Experiment","Listener","lambda","depth","nullcost","Pearson","Pearson.p","Spearman","Spearman.p","MSE"
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,2,0.917470894683823,5.44189836243779e-37,0.750132410824878,1.75391852822773e-17,0.00961856969793554
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,2,0.851584588436876,2.05787763548918e-26,0.793186405517605,1.17838767479083e-20,0.0126215184241643
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,3,0.84497597828771,1.2046351995342e-25,0.775319236140126,2.97099138393041e-19,0.0117878869874445
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,3,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,3,0.917244441006102,6.10885289022919e-37,0.750132410824878,1.75391852822773e-17,0.00964129768585022
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,3,0.850927815495645,2.4622961910354e-26,0.793186405517605,1.17838767479083e-20,0.0126791996059347
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,4,0.844678890604343,1.30170226739626e-25,0.775319236140126,2.97099138393041e-19,0.0118142514205071
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,4,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,4,0.917175157686278,6.32837889085879e-37,0.750132410824878,1.75391852822773e-17,0.0096482539843793
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,4,0.850728603349454,2.59956866094743e-26,0.793186405517605,1.17838767479083e-20,0.0126967770889454
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,5,0.84458890461223,1.33257601154243e-25,0.775319236140126,2.97099138393041e-19,0.0118222511551222
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,5,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,5,0.917154190586752,6.39631693419906e-37,0.750132410824878,1.75391852822773e-17,0.00965035940737899
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,5,0.850668469464517,2.64244922209696e-26,0.793186405517605,1.17838767479083e-20,0.012702090570508
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,6,0.844561755029547,1.34202999173164e-25,0.775319236140126,2.97099138393041e-19,0.0118246660356016
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,6,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,6,0.917147866356838,6.41694809856899e-37,0.750132410824878,1.75391852822773e-17,0.0096509944812532
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,6,0.850650345318578,2.65550772767323e-26,0.793186405517605,1.17838767479083e-20,0.0127036927266613
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,4,7,0.844553573515766,1.34489171760186e-25,0.775319236140126,2.97099138393041e-19,0.0118253938758115
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,4,7,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,4,7,0.917145960712123,6.42317748527203e-37,0.750132410824878,1.75391852822773e-17,0.00965118584657284
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,4,7,0.850644885322393,2.65945396697697e-26,0.793186405517605,1.17838767479083e-20,0.0127041754476157
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,5,0,0.824968873238045,1.5925887290519e-23,0.773645241586423,3.95935190144749e-19,0.013694808933898
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,5,0,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,5,0,0.917145139237338,6.42586463357564e-37,0.750132410824878,1.75391852822773e-17,0.0096512683395726
"embeddedscalars-experiment-results-likert.csv","Unconstrained",1.2,5,0,0.828235848562621,7.4916518634737e-24,0.793266688558182,1.1605982181118e-20,0.0149599091794805
"embeddedscalars-experiment-results-likert.csv","NeoGricean",1.2,5,1,0.829213433016461,5.95975652778867e-24,0.773029519451727,4.39776050521994e-19,0.0132880639682071
"embeddedscalars-experiment-results-likert.csv","Literal",1.2,5,1,0.935047773665439,2.11598422341985e-41,0.756008363330279,7.08041217013823e-18,0.00785327153227817
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",1.2,5,1,0.918185466308739,3.77022449511122e-37,0.750132410824878,1.75391852822773e-17,0.00954693862163135
